yearID,teamID,DivWin,WCWin,LgWin,WSWin
1871,BS1,,,FALSE,
1871,CH1,,,FALSE,
1871,CL1,,,FALSE,
1871,FW1,,,FALSE,
1871,NY2,,,FALSE,
1871,PH1,,,TRUE,
1871,RC1,,,FALSE,
1871,TRO,,,FALSE,
1871,WS3,,,FALSE,
1872,BL1,,,FALSE,
1872,BR1,,,FALSE,
1872,BR2,,,FALSE,
1872,BS1,,,TRUE,
1872,CL1,,,FALSE,
1872,MID,,,FALSE,
1872,NY2,,,FALSE,
1872,PH1,,,FALSE,
1872,TRO,,,FALSE,
1872,WS3,,,FALSE,
1872,WS4,,,FALSE,
1873,BL1,,,FALSE,
1873,BL4,,,FALSE,
1873,BR2,,,FALSE,
1873,BS1,,,TRUE,
1873,ELI,,,FALSE,
1873,NY2,,,FALSE,
1873,PH1,,,FALSE,
1873,PH2,,,FALSE,
1873,WS5,,,FALSE,
1874,BL1,,,FALSE,
1874,BR2,,,FALSE,
1874,BS1,,,TRUE,
1874,CH2,,,FALSE,
1874,HR1,,,FALSE,
1874,NY2,,,FALSE,
1874,PH1,,,FALSE,
1874,PH2,,,FALSE,
1875,BR2,,,FALSE,
1875,BS1,,,TRUE,
1875,CH2,,,FALSE,
1875,HR1,,,FALSE,
1875,KEO,,,FALSE,
1875,NH1,,,FALSE,
1875,NY2,,,FALSE,
1875,PH1,,,FALSE,
1875,PH2,,,FALSE,
1875,PH3,,,FALSE,
1875,SL1,,,FALSE,
1875,SL2,,,FALSE,
1875,WS6,,,FALSE,
1876,BSN,,,FALSE,
1876,CHN,,,TRUE,
1876,CN1,,,FALSE,
1876,HAR,,,FALSE,
1876,LS1,,,FALSE,
1876,NY3,,,FALSE,
1876,PHN,,,FALSE,
1876,SL3,,,FALSE,
1877,BSN,,,TRUE,
1877,CHN,,,FALSE,
1877,CN1,,,FALSE,
1877,HAR,,,FALSE,
1877,LS1,,,FALSE,
1877,SL3,,,FALSE,
1878,BSN,,,TRUE,
1878,CHN,,,FALSE,
1878,CN1,,,FALSE,
1878,IN1,,,FALSE,
1878,ML2,,,FALSE,
1878,PRO,,,FALSE,
1879,BFN,,,FALSE,
1879,BSN,,,FALSE,
1879,CHN,,,FALSE,
1879,CL2,,,FALSE,
1879,CN1,,,FALSE,
1879,PRO,,,TRUE,
1879,SR1,,,FALSE,
1879,TRN,,,FALSE,
1880,BFN,,,FALSE,
1880,BSN,,,FALSE,
1880,CHN,,,TRUE,
1880,CL2,,,FALSE,
1880,CN1,,,FALSE,
1880,PRO,,,FALSE,
1880,TRN,,,FALSE,
1880,WOR,,,FALSE,
1881,BFN,,,FALSE,
1881,BSN,,,FALSE,
1881,CHN,,,TRUE,
1881,CL2,,,FALSE,
1881,DTN,,,FALSE,
1881,PRO,,,FALSE,
1881,TRN,,,FALSE,
1881,WOR,,,FALSE,
1882,BFN,,,FALSE,
1882,BL2,,,FALSE,
1882,BSN,,,FALSE,
1882,CHN,,,TRUE,
1882,CL2,,,FALSE,
1882,CN2,,,TRUE,
1882,DTN,,,FALSE,
1882,LS2,,,FALSE,
1882,PH4,,,FALSE,
1882,PRO,,,FALSE,
1882,PT1,,,FALSE,
1882,SL4,,,FALSE,
1882,TRN,,,FALSE,
1882,WOR,,,FALSE,
1883,BFN,,,FALSE,
1883,BL2,,,FALSE,
1883,BSN,,,TRUE,
1883,CHN,,,FALSE,
1883,CL2,,,FALSE,
1883,CL5,,,FALSE,
1883,CN2,,,FALSE,
1883,DTN,,,FALSE,
1883,LS2,,,FALSE,
1883,NY1,,,FALSE,
1883,NY4,,,FALSE,
1883,PH4,,,TRUE,
1883,PHI,,,FALSE,
1883,PRO,,,FALSE,
1883,PT1,,,FALSE,
